activity_id,sid,course_id,course_name,test_type,score,timestamp,academic_year,semester,week
019e3117-c824-7dc6-9035-e2f83e20486f,019e3117-c810-7ff8-9cb7-24213d45cfa7,CS101,Programming Fundamentals,Quiz,81.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c825-7d20-9172-47c61c6d2c45,019e3117-c810-7ff8-9cb7-24213d45cfa7,MATH201,Advanced Calculus,Quiz,91.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c826-701d-83f8-8538446e68c2,019e3117-c810-7ff8-9cb7-24213d45cfa7,ENG102,Western Literature,Quiz,87.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c827-794e-becd-3c53e749cc09,019e3117-c810-7ff8-9cb7-24213d45cfa7,PSYC101,Intro to Psychology,Quiz,90.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c828-7225-9cce-0566604bbe28,019e3117-c811-772f-b0cc-a059f54a9405,CS101,Programming Fundamentals,Quiz,92.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c829-7463-b0eb-f9585ebce45a,019e3117-c811-772f-b0cc-a059f54a9405,MATH201,Advanced Calculus,Quiz,91.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c82a-7631-ae42-67203a07d9f3,019e3117-c811-772f-b0cc-a059f54a9405,ENG102,Western Literature,Quiz,83.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c82b-760b-a5c3-77b07906424a,019e3117-c811-772f-b0cc-a059f54a9405,PSYC101,Intro to Psychology,Quiz,85.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c82c-7034-ab4f-5ab5a8ee09cb,019e3117-c812-7bbc-85df-495b0b14aad6,CS101,Programming Fundamentals,Quiz,84.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c82d-76e0-a937-bc9df33405ad,019e3117-c812-7bbc-85df-495b0b14aad6,MATH201,Advanced Calculus,Quiz,93.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c82e-7ee9-8e9e-66333165f5e4,019e3117-c812-7bbc-85df-495b0b14aad6,ENG102,Western Literature,Quiz,89.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c82f-71f8-a1a6-f825b87d2126,019e3117-c812-7bbc-85df-495b0b14aad6,PSYC101,Intro to Psychology,Quiz,91.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c830-7ecc-a369-3c79a683fc60,019e3117-c813-7d21-b934-ad2b5dd45bb2,CS101,Programming Fundamentals,Quiz,85.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c831-7137-8084-391676ec8b33,019e3117-c813-7d21-b934-ad2b5dd45bb2,MATH201,Advanced Calculus,Quiz,86.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c832-73a9-99b1-6c90f35780fc,019e3117-c813-7d21-b934-ad2b5dd45bb2,ENG102,Western Literature,Quiz,84.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c833-7eb6-b92b-3f336756bf28,019e3117-c813-7d21-b934-ad2b5dd45bb2,PSYC101,Intro to Psychology,Quiz,81.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c834-72e8-b52b-c0654307778d,019e3117-c814-727d-a005-249f73d2233d,CS101,Programming Fundamentals,Quiz,89.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c835-7ab9-a1f6-d5ac8dd0967a,019e3117-c814-727d-a005-249f73d2233d,MATH201,Advanced Calculus,Quiz,94.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c836-78a8-99ae-3b3a49636339,019e3117-c814-727d-a005-249f73d2233d,ENG102,Western Literature,Quiz,90.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c837-76e4-8b75-625781177df8,019e3117-c814-727d-a005-249f73d2233d,PSYC101,Intro to Psychology,Quiz,94.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c838-7c15-812a-edc3a3f45a3f,019e3117-c815-7a85-a8e1-e59e88f6c338,CS101,Programming Fundamentals,Quiz,81.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c839-7e56-b769-a2a95a1b0637,019e3117-c815-7a85-a8e1-e59e88f6c338,MATH201,Advanced Calculus,Quiz,81.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c83a-7f3c-aebd-36ab5da2cda1,019e3117-c815-7a85-a8e1-e59e88f6c338,ENG102,Western Literature,Quiz,93.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c83b-7963-a187-9f478ffa2654,019e3117-c815-7a85-a8e1-e59e88f6c338,PSYC101,Intro to Psychology,Quiz,93.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c83c-7cde-a194-d85900b44f63,019e3117-c816-7dfa-9576-f6fbe6bee293,CS101,Programming Fundamentals,Quiz,88.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c83d-7a62-a2e5-8b35610a35a5,019e3117-c816-7dfa-9576-f6fbe6bee293,MATH201,Advanced Calculus,Quiz,91.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c83e-7070-ba95-2e8de0e62929,019e3117-c816-7dfa-9576-f6fbe6bee293,ENG102,Western Literature,Quiz,83.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c83f-70ea-ad7d-177b797db610,019e3117-c816-7dfa-9576-f6fbe6bee293,PSYC101,Intro to Psychology,Quiz,93.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c840-71ff-be7b-fb0da7ff5135,019e3117-c817-71b3-8ac9-c2113c74166a,CS101,Programming Fundamentals,Quiz,93.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c841-7a5f-9f21-30c53062a1e1,019e3117-c817-71b3-8ac9-c2113c74166a,MATH201,Advanced Calculus,Quiz,89.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c842-7998-91b6-c91d7e96ba30,019e3117-c817-71b3-8ac9-c2113c74166a,ENG102,Western Literature,Quiz,86.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c843-7bc0-8d94-fe79cbe5208d,019e3117-c817-71b3-8ac9-c2113c74166a,PSYC101,Intro to Psychology,Quiz,92.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c844-703c-9ede-4b94f2f6b540,019e3117-c818-7125-a6df-10455d013641,CS101,Programming Fundamentals,Quiz,87.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c845-730b-8ed6-d48e4e4e6939,019e3117-c818-7125-a6df-10455d013641,MATH201,Advanced Calculus,Quiz,81.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c846-7707-8e5a-4b1bb568b9b2,019e3117-c818-7125-a6df-10455d013641,ENG102,Western Literature,Quiz,89.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c847-7075-b2f9-5e61fa82b445,019e3117-c818-7125-a6df-10455d013641,PSYC101,Intro to Psychology,Quiz,91.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c848-7f8e-805d-8c0e62ae6a18,019e3117-c819-7f33-a059-8737932ea3cf,CS101,Programming Fundamentals,Quiz,87.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c849-7c02-b207-00491ff712de,019e3117-c819-7f33-a059-8737932ea3cf,MATH201,Advanced Calculus,Quiz,90.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c84a-7bcc-8c3a-1b07aefde086,019e3117-c819-7f33-a059-8737932ea3cf,ENG102,Western Literature,Quiz,95.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c84b-7f5b-9e99-1267e05b771a,019e3117-c819-7f33-a059-8737932ea3cf,PSYC101,Intro to Psychology,Quiz,92.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c84c-7a7d-a242-47ae14a5dfb3,019e3117-c81a-7855-8f62-eaefc66c091c,CS101,Programming Fundamentals,Quiz,80.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c84d-76e5-bf83-a1d04f5ed689,019e3117-c81a-7855-8f62-eaefc66c091c,MATH201,Advanced Calculus,Quiz,83.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c84e-7a83-a272-ba17abbb361f,019e3117-c81a-7855-8f62-eaefc66c091c,ENG102,Western Literature,Quiz,88.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c84f-74bc-9db4-224b610f0f0e,019e3117-c81a-7855-8f62-eaefc66c091c,PSYC101,Intro to Psychology,Quiz,90.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c850-77a7-be33-f7c3d8c21c6b,019e3117-c81b-7575-9c54-0b97b984a42a,CS101,Programming Fundamentals,Quiz,80.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c851-756d-a783-0e5a165baf7d,019e3117-c81b-7575-9c54-0b97b984a42a,MATH201,Advanced Calculus,Quiz,87.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c852-7f14-92fc-6c1a89e3991c,019e3117-c81b-7575-9c54-0b97b984a42a,ENG102,Western Literature,Quiz,81.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c853-702b-a086-c406e50f1a76,019e3117-c81b-7575-9c54-0b97b984a42a,PSYC101,Intro to Psychology,Quiz,89.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c854-71d7-8585-232658ee9934,019e3117-c81c-7451-bac3-87b48f4aac0a,CS101,Programming Fundamentals,Quiz,81.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c855-7596-b99f-d115aa53baec,019e3117-c81c-7451-bac3-87b48f4aac0a,MATH201,Advanced Calculus,Quiz,85.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c856-7a6e-b8c5-ddd7198d06be,019e3117-c81c-7451-bac3-87b48f4aac0a,ENG102,Western Literature,Quiz,93.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c857-7a74-a88f-189b0dec37f4,019e3117-c81c-7451-bac3-87b48f4aac0a,PSYC101,Intro to Psychology,Quiz,84.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c858-79e0-ae9d-cb2da4a9bb53,019e3117-c81d-7898-8809-79a2513cb17d,CS101,Programming Fundamentals,Quiz,80.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c859-7c37-bafa-64f4a160129d,019e3117-c81d-7898-8809-79a2513cb17d,MATH201,Advanced Calculus,Quiz,94.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c85a-7bd7-bde9-b66000453561,019e3117-c81d-7898-8809-79a2513cb17d,ENG102,Western Literature,Quiz,90.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c85b-7390-b32c-b3c3d3a0bf79,019e3117-c81d-7898-8809-79a2513cb17d,PSYC101,Intro to Psychology,Quiz,80.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c85c-71e7-86ef-921f969a7460,019e3117-c81e-716d-9a07-0b3abcfe6fdc,CS101,Programming Fundamentals,Quiz,87.0,2026-01-05T00:00:00+00:00,2026,1,1
019e3117-c85d-7c21-895a-7aa29257e096,019e3117-c81e-716d-9a07-0b3abcfe6fdc,MATH201,Advanced Calculus,Quiz,82.0,2026-01-05T00:00:00+00:00,2026,1,1
